_id,id,nickname,battles_in_0,dmg_in_0,winrate_in_0,battles_in_1,dmg_in_1,winrate_in_1,battles_in_4,dmg_in_4,winrate_in_4,battles_in_3,dmg_in_3,winrate_in_3,clantag,is_stats_closed,kills_in_0,spotting_in_0,kills_in_1,spotting_in_1,kills_in_3,spotting_in_3
5fa7ff2f805c92047577edfb,620786676,mariec_12,386,899.78,50,1,2107,100,0,0,0,0,0,0,FlRE,false,0.65,306.5284974093264,2,2017,0,0
5fa7ff2f805c92047577edfd,596443743,ДрандулетХарли,585,1092.41,50.9,74,5079.35,79.7,0,0,0,1,3615,0,FlRE,false,0.85,283.4717948717949,6.16,1918.1351351351352,0,353
5fa7ff2f805c92047577edfe,509337103,juvez,1248,1601.03,54.2,68,5319.33,83.8,0,0,0,0,0,0,FlRE,false,1.23,390.7540064102564,5.28,1497.1617647058824,0,0
5fa7ff2f805c92047577edff,513111915,eduard12051954,136,600.32,41.2,1366,5231.62,80.5,0,0,0,4,3529.75,25,FlRE,false,0.3,248.8235294117647,4.3,3284.623718887262,0.25,2332.75
5fa7ff2f805c92047577ee00,589627138,PaKETA26,607,1958.89,54.5,158,11176.36,91.8,0,0,0,0,0,0,FlRE,false,1.39,470.6342668863262,9.11,4237.5759493670885,0,0
5fa7ff2f805c92047577ee01,535272293,KOBALT325,208,1270.03,49.5,5,5470.4,100,0,0,0,0,0,0,FlRE,false,1.07,342.27884615384613,9.8,1953.4,0,0
5fa7ff2f805c92047577ee02,505602505,woofdogg,2999,1289.65,49.7,0,0,0,0,0,0,11,6215.81,54.5,FlRE,false,0.74,525.6028676225409,0,0,3.36,1677.6363636363637
5fa7ff2f805c92047577ee03,587945586,BOEWIK-1,2803,1863.99,52.6,156,9653.15,92.3,0,0,0,7,5132.42,42.9,FlRE,false,1.02,501.904031394934,7.89,4017.2371794871797,2.86,997.5714285714286
5fa7ff2f805c92047577ee05,579018299,DADDY_SMURF,10796,2466.84,53.1,234,13025.91,72.6,1,1862,0,27,7693.77,48.1,SMURF,false,1.12,838.8479066320859,7.06,2531.8760683760684,3.96,1427.962962962963
5fa7ff2f805c92047577ee06,557551133,bezopasnost,1139,2382.21,53.8,49,10931.93,79.6,0,0,0,533,10154.36,52.9,SMURF,false,0.78,519.5153643546971,6.73,2008.3673469387754,3.46,2372.0431519699814
5fa7ff2f805c92047577ee08,600553358,CENTURION_78RUS,269,1787.64,56.9,2,4493.5,100,0,0,0,0,0,0,SMURF,false,1.36,319.7657992565056,7.5,836,0,0
5fa7ff2f805c92047577ee09,416527830,растваритель,13597,1279.01,51.4,1209,13891.61,81.7,0,0,0,9,2359.66,11.1,SMURF,false,0.78,703.8186364639258,6.26,3470.8833746898263,1.67,1101.7777777777778
